feature,symbol,name
mRNA,LOC118268968,anion exchange protein 3-like
mRNA,LOC118275722,tyrosine-protein kinase Abl-like
mRNA,LOC118275917,uncharacterized LOC118275917
mRNA,LOC118276005,alpha-tubulin N-acetyltransferase-like
mRNA,LOC118265175,uncharacterized LOC118265175
mRNA,LOC118269304,adenylate cyclase type 6-like
mRNA,LOC118267627,SET and MYND domain-containing protein 4-like
mRNA,LOC118267608,paramyosin-like
mRNA,LOC118267649,uncharacterized LOC118267649
mRNA,LOC118267678,selenoprotein K-like
mRNA,LOC118267670,rhythmically expressed gene 2 protein-like
ncRNA,LOC118266267,uncharacterized LOC118266267
ncRNA,LOC118266272,uncharacterized LOC118266272
mRNA,LOC118268940,ephrin type-B receptor 1-B-like
mRNA,LOC118261728,UDP-sugar transporter UST74c-like
mRNA,LOC118273214,zinc finger and BTB domain-containing protein 14-like
mRNA,LOC118266882,"cytochrome b-c1 complex subunit 1, mitochondrial-like"
mRNA,LOC118265178,"cytochrome b-c1 complex subunit 1, mitochondrial-like"
mRNA,LOC118265853,uncharacterized LOC118265853
ncRNA,LOC118268526,uncharacterized LOC118268526
mRNA,LOC118265347,uncharacterized LOC118265347
mRNA,LOC118268408,alanine aminotransferase 2-like
mRNA,LOC118268442,activity-regulated cytoskeleton associated protein 1-like
mRNA,LOC118268414,uncharacterized LOC118268414
mRNA,LOC118265450,putative nuclease HARBI1
mRNA,LOC118268511,uncharacterized LOC118268511
mRNA,LOC118265684,uncharacterized LOC118265684
mRNA,LOC118265792,putative nuclease HARBI1
mRNA,LOC118265802,uncharacterized LOC118265802
mRNA,LOC118265811,putative nuclease HARBI1
mRNA,LOC118268494,uncharacterized LOC118268494
mRNA,LOC118268396,uncharacterized LOC118268396
mRNA,LOC118265895,putative nuclease HARBI1
mRNA,LOC118265915,uncharacterized LOC118265915
mRNA,LOC118268381,uncharacterized LOC118268381
mRNA,LOC118265975,piggyBac transposable element-derived protein 4-like
mRNA,LOC118268421,dipeptidase 1-like
mRNA,LOC118268456,actin-100-like
mRNA,LOC118268466,actin-85C-like
mRNA,LOC118268503,uncharacterized LOC118268503
mRNA,LOC118268485,anionic trypsin-like
mRNA,LOC118268518,uncharacterized LOC118268518
mRNA,LOC118266016,chymotrypsin-like
mRNA,LOC118268475,trypsin-1-like
mRNA,LOC118267338,uncharacterized LOC118267338
ncRNA,LOC118267353,uncharacterized LOC118267353
mRNA,LOC118266140,uncharacterized LOC118266140
mRNA,LOC118265843,mast cell protease 1-like
mRNA,LOC118266034,uncharacterized LOC118266034
mRNA,LOC118282142,uncharacterized LOC118282142
mRNA,LOC118282204,uncharacterized LOC118282204
mRNA,LOC118282230,Krueppel-like factor luna
mRNA,LOC118282221,uncharacterized LOC118282221
mRNA,LOC118282250,uncharacterized LOC118282250
mRNA,LOC118282213,probable cytochrome P450 303a1
ncRNA,LOC118282260,uncharacterized LOC118282260
mRNA,LOC118266091,uncharacterized LOC118266091
ncRNA,LOC118266202,uncharacterized LOC118266202
mRNA,LOC118261935,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like"
mRNA,LOC118266094,uncharacterized LOC118266094
mRNA,LOC118261926,piggyBac transposable element-derived protein 3-like
mRNA,LOC118266606,uncharacterized LOC118266606
mRNA,LOC118264784,MIF-like protein mif-2
mRNA,LOC118264777,"probable 3',5'-cyclic phosphodiesterase pde-5"
mRNA,LOC118267098,mitochondrial thiamine pyrophosphate carrier-like
mRNA,LOC118267101,uncharacterized LOC118267101
ncRNA,LOC118265988,uncharacterized LOC118265988
ncRNA,LOC118265983,uncharacterized LOC118265983
ncRNA,LOC118266743,uncharacterized LOC118266743
mRNA,LOC118265373,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4-like
mRNA,LOC118264806,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
mRNA,LOC118262754,uncharacterized LOC118262754
mRNA,LOC118266173,gamma-soluble NSF attachment protein-like
mRNA,LOC118265929,mucin-5AC-like
ncRNA,LOC118268313,uncharacterized LOC118268313
mRNA,LOC118266902,zinc finger protein GLI4-like
mRNA,LOC118264802,SPRY domain-containing SOCS box protein 3-like
mRNA,LOC118269236,uncharacterized LOC118269236
ncRNA,LOC118267684,uncharacterized LOC118267684
mRNA,LOC118266175,zinc finger protein 135-like
mRNA,LOC118266440,SPRY domain-containing SOCS box protein 3-like
mRNA,LOC118266433,uncharacterized LOC118266433
ncRNA,LOC118262021,uncharacterized LOC118262021
mRNA,LOC118262010,SET and MYND domain-containing protein 4-like
ncRNA,LOC118266730,uncharacterized LOC118266730
mRNA,LOC118265693,CUB and sushi domain-containing protein 3-like
mRNA,LOC118265720,uncharacterized LOC118265720
mRNA,LOC118265761,F-actin-monooxygenase Mical-like
ncRNA,LOC118263814,uncharacterized LOC118263814
mRNA,LOC118263761,"alanine--tRNA ligase, mitochondrial-like"
mRNA,LOC118263742,protein Jumonji-like
mRNA,LOC118263720,uncharacterized LOC118263720
mRNA,LOC118263769,uncharacterized LOC118263769
mRNA,LOC118263802,uncharacterized LOC118263802
mRNA,LOC118263820,deformed epidermal autoregulatory factor 1-like
ncRNA,LOC118263829,uncharacterized LOC118263829
ncRNA,LOC118263844,uncharacterized LOC118263844
ncRNA,LOC118263874,uncharacterized LOC118263874
ncRNA,LOC118263869,uncharacterized LOC118263869
ncRNA,LOC118263862,uncharacterized LOC118263862
mRNA,LOC118263853,laminin subunit alpha-like
mRNA,LOC118264452,uncharacterized LOC118264452
mRNA,LOC118267744,transmembrane channel-like protein 2-B
mRNA,LOC118261874,laminin subunit gamma-1-like
mRNA,LOC118267476,inhibitory POU protein-like
mRNA,LOC118280163,uncharacterized protein CG1161-like
mRNA,LOC118280457,transmembrane protein 9B-like3
mRNA,LOC118280236,roquin-1-like
mRNA,LOC118269062,"longitudinals lacking protein, isoforms H/M/V-like"
mRNA,LOC118271992,"longitudinals lacking protein, isoforms H/M/V-like"
mRNA,LOC118265177,zinc-type alcohol dehydrogenase-like protein C1773.06c
mRNA,LOC118268574,uncharacterized LOC118268574
misc_RNA,LOC118268008,plexin domain-containing protein 2-like
mRNA,LOC118267995,biogenesis of lysosome-related organelles complex 1 subunit 2-like
mRNA,LOC118264793,putative nuclease HARBI1
ncRNA,LOC118266041,uncharacterized LOC118266041
mRNA,LOC118266634,nucleosome assembly protein 1;4-like
mRNA,LOC118267089,uncharacterized LOC118267089
mRNA,LOC118266674,uncharacterized LOC118266674
mRNA,LOC118268223,uncharacterized protein K02A2.6-like
ncRNA,LOC118281413,uncharacterized LOC118281413
ncRNA,LOC118281202,uncharacterized LOC118281202
ncRNA,LOC118281360,uncharacterized LOC118281360
mRNA,LOC118281144,tubulin alpha-1 chain-like
mRNA,LOC118267754,uncharacterized LOC118267754
mRNA,LOC118267774,glucose transporter type 1-like
mRNA,LOC118265456,uncharacterized LOC118265456
mRNA,LOC118268272,uncharacterized LOC118268272
mRNA,LOC118267376,uncharacterized LOC118267376
mRNA,LOC118262521,altered inheritance of mitochondria protein 3-like
mRNA,LOC118262548,uncharacterized LOC118262548
mRNA,LOC118266151,uncharacterized LOC118266151
mRNA,LOC118279904,protein RCC2 homolog
mRNA,LOC118263878,uncharacterized LOC118263878
mRNA,LOC118266398,enkurin-like
mRNA,LOC118266408,"pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial-like"
mRNA,LOC118266416,uncharacterized LOC118266416
