name	ID	locus
Aif1	XM_013341813.1	LOC118271307
Akt	XM_021325337.1	LOC118267370
Apaf-1	XM_021325983.1	LOC118276327
Ask1	XM_012693084.2	LOC118265171
aspp1_1	XM_013336081.1	LOC118267452
aspp1_2	XM_013336081.1	LOC118267528
Atf6	XM_021332166.1	LOC118262531
Bun	XM_021344724.1	LOC118271836
Cal	HM445737.1	LOC118276129
Cal4	XM_021344204.1	LOC118281029
CaMKII	XM_021333370.1	LOC118261989
caspase-1	U81510.1	LOC118267265
caspase-2	KP711808.1	LOC118267267
caspase-5 (Dronc)	JX912275.1	LOC118266887
caspase-6 (Dredd)	KU668855.1	LOC118266881
CAPN7	XM_021332843.1	LOC118269303
Cathepsin B_1	HQ110064.1	LOC118264342
Cathepsin B_2	HQ110064.1	LOC118264335
Cathepsin B_2	HQ110064.1	LOC118281863
Cathepsin D	KX827245.1	LOC118276061
Cathepsin L	HQ110065.1	LOC118276442
Cdc2_1	FJ157364.1	LOC118275207
Cdc2_2	FJ157364.1	LOC118274538
Cna	KR185962.1	LOC118266839
Cnb	FJ555522.1	LOC118267506
Crea	XM_021336273.1	LOC118263269
Creb	XM_021325533.1	LOC118267123
Cyt c_1	JX313131.1	LOC118272009
Cyt c_2	JX313131.1	LOC118272008
Dff	XM_021337193.1	LOC118281778
DnaJ1_1	KF562156.1	LOC118268195
DnaJ1_2	KF562156.1	LOC118268342
EcRA	GU296540.1	LOC118267067
Erk	NM_001043456.1	LOC118266795
Ero1	XM_021329593.1	LOC118266760
FAF1_1	XM_021327322.1	LOC118265774
FAF1_2	XM_021327322.1	LOC118265798
FoxK_1	XM_021336910.1	LOC118263974
FoxK_2	XM_021336910.1	LOC118264364
FoxO	KP735963.1	LOC118268633
Gadd45a	XM_021341866.1	LOC118279337
Grim19	HM369463.1	LOC118274234
Gsk3	KJ206238.1	LOC118281911
Hsp70_1	KC787696.1	LOC118268613
Hsp70_2	KC787696.1	LOC118268081
Hsp70_3	KC787696.1	LOC118280708
Hsp70_4	KC787696.1	LOC118280707
Iap	AF186378.1	LOC118281748
Iap2	NM_001202529.1	LOC118281749
Jnk	JF727877.1	LOC118271580
Jip3	XM_021332213.1	LOC118264681
p53	na	LOC118274507
Mam	XM_004927862.1	LOC118263918
Map2k7_1	XM_021339636.1	LOC118262551
Map2k7_2	XM_021339636.1	LOC118263074
Map3k4	XM_021337467.1	LOC118269671
Map3k7	XM_021342758.1	LOC118271699
Map4k5_1	XM_021341817.1	LOC118276807
Map4k5_2	XM_021341817.1	LOC118276805
Map2k4	XM_021334598.1	LOC118264157
Map2k6	XM_021337042.1	LOC118281771
Nup53/p53	XM_021332320.1	LOC118282392
Pcdp2	XM_021340263.1	LOC118269936
Pcdp4	XM_004925107.3	LOC118278610
Pcdp10	XM_001657732.2	LOC118273498
Pcdp11	JF681972.1	LOC118275397
Pdi	JX183988.1	LOC118272650
Pdrg	XM_013289208.1	LOC118262481
Pik3c3	XM_021338589.1	LOC118273803
Pkac1_1	KT207930.1	LOC118276270
Pkac1_2	KT207930.1	LOC118276269
Pkar1	NM_001099825.1	LOC118272709
Pkar2	NM_001111353.1	LOC118266314
Pkdc2	XM_021339075.1	LOC118273160
p38 Mapk	KC895497.1	LOC118270255
Rab39b	XM_021328859.1	LOC118276380
Ras_1	NM_001043507.1	LOC118269644
Ras_2	NM_001043507.1	LOC118269643
Ras2_1	XM_021335345.1	LOC118277948
Ras2_2	XM_021335345.1	LOC118277971
Rock1	XM_013278227.1	LOC118273703
S6k	KU987819.1	LOC118266775
Rps6ka5_1	XM_021341820.1	LOC118276808
Rps6ka5_2	XM_021341820.1	LOC118276810
Rptor	XM_021341810.1	LOC118264499
Stat	AF329946.1	LOC118280931
Survivin-1	XM_012688679.2	LOC118275459
Tgfbr1	KY328721.1	LOC118277691
Tnfsf5	XM_012693655.2	LOC118277546
Traf4	XM_021325240.1	LOC118267022
Traf6	XM_021327070.1	LOC118263824
