feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	503	1009	+					Ac-ptp	1403833	ACNVgp001	507		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	503	1009	+	NP_054030.1			protein tyrosine phosphatase	Ac-ptp	1403833	ACNVgp001	507	168	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	1041	2027	-					Ac-bro	1403834	ACNVgp002	987		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	1041	2027	-	NP_054031.1			baculovirus repeated ORF	Ac-bro	1403834	ACNVgp002	987	328	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2084	2245	-					Ac-ctx	1403835	ACNVgp003	162		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2084	2245	-	NP_054032.1			conotoxin-like peptide	Ac-ctx	1403835	ACNVgp003	162	53	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2295	2750	-					AcOrf-4	1403836	ACNVgp004	456		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2295	2750	-	NP_054033.1			AcOrf-4 peptide	AcOrf-4	1403836	ACNVgp004	456	151	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2779	3108	+					AcOrf-5	1403837	ACNVgp005	330		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	2779	3108	+	NP_054034.1			AcOrf-5 peptide	AcOrf-5	1403837	ACNVgp005	330	109	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	3089	3721	+					Ac-lef2	1403838	ACNVgp006	633		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	3089	3721	+	NP_054035.1			late expression factor 2	Ac-lef2	1403838	ACNVgp006	633	210	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	3759	4364	-					Ac-ORF603	1403839	ACNVgp007	606		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	3759	4364	-	NP_054036.1			hypothetical protein	Ac-ORF603	1403839	ACNVgp007	606	201	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	4520	5257	+					Ac-PH	1403840	ACNVgp008	738		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	4520	5257	+	NP_054037.1			major occlusion body protein	Ac-PH	1403840	ACNVgp008	738	245	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	5287	6918	-					Ac-ORF1629	1403841	ACNVgp009	1632		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	5287	6918	-	NP_054038.1			viral capsid associated protein	Ac-ORF1629	1403841	ACNVgp009	1632	543	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	6917	7735	+					Ac-pk-1	1403842	ACNVgp010	819		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	6917	7735	+	NP_054039.1			protein kinase	Ac-pk-1	1403842	ACNVgp010	819	272	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	7899	8921	-					AcOrf-11	1403843	ACNVgp011	1023		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	7899	8921	-	NP_054040.1			AcOrf-11 peptide	AcOrf-11	1403843	ACNVgp011	1023	340	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	8958	9611	+					AcOrf-12	1403844	ACNVgp012	654		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	8958	9611	+	NP_054041.1			AcOrf-12 peptide	AcOrf-12	1403844	ACNVgp012	654	217	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	9638	10621	-					AcOrf-13	1403845	ACNVgp013	984		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	9638	10621	-	NP_054042.1			AcOrf-13 peptide	AcOrf-13	1403845	ACNVgp013	984	327	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	10513	11313	-					Ac-lef1	1403846	ACNVgp014	801		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	10513	11313	-	NP_054043.1			late expression factor 1	Ac-lef1	1403846	ACNVgp014	801	266	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	11426	12946	+					Ac-egt	1403847	ACNVgp015	1521		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	11426	12946	+	NP_054044.1			ecdysteroid UDP-glucosyl transferase	Ac-egt	1403847	ACNVgp015	1521	506	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	13092	13769	+					AcOrf-16	1403848	ACNVgp016	678		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	13092	13769	+	NP_054045.1			AcOrf-16 peptide	AcOrf-16	1403848	ACNVgp016	678	225	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	13738	14232	+					AcOrf-17	1403849	ACNVgp017	495		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	13738	14232	+	NP_054046.1			AcOrf-17 peptide	AcOrf-17	1403849	ACNVgp017	495	164	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	14398	15459	-					AcOrf-18	1403850	ACNVgp018	1062		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	14398	15459	-	NP_054047.1			AcOrf-18 peptide	AcOrf-18	1403850	ACNVgp018	1062	353	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	15461	15787	+					AcOrf-19	1403851	ACNVgp019	327		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	15461	15787	+	NP_054048.1			AcOrf-19 peptide	AcOrf-19	1403851	ACNVgp019	327	108	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	16013	16222	-					AcOrf-20	1403852	ACNVgp020	210		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	16013	16222	-	NP_054049.1			actin rearrangement inducing factor	AcOrf-20	1403852	ACNVgp020	210	69	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	16305	17264	-					AcOrf-21	1403853	ACNVgp021	960		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	16305	17264	-	NP_054050.1			actin rearrangement inducing factor	AcOrf-21	1403853	ACNVgp021	960	319	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	17301	18449	+					AcOrf-22	1403854	ACNVgp022	1149		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	17301	18449	+	NP_054051.1			AcOrf-22 peptide	AcOrf-22	1403854	ACNVgp022	1149	382	
