ATP6	ATP6^ATP6_ANOQU^ATP6_AEDAL^Tm1
COX1	COX1^COX1_CHOOC^Tm1
COX2	COX2^COX2_CHOPI
COX3	COX3^COX3_DROME
CYTB	CYTB^CYB_SAMRI^CYB_OSTNU^Cytochrom_B_N_2^Tm1
LOC118261721	LOC118261721^FRY_HUMAN^FRYL_HUMAN^FRY_DROME^MOR2-PAG1_N^sigP^Tm1
LOC118261722	LOC118261722^GSTT1_MANSE^GST_N
LOC118261723	LOC118261723^GSTT1_MANSE^GST_N^Tm1
LOC118261724	LOC118261724^GSTT1_MANSE^GST_N
LOC118261725	LOC118261725^sigP^Tm1
LOC118261726	LOC118261726^CU30_BOMMO^Chitin_bind_4^sigP^Tm1
LOC118261727	LOC118261727^CUD2_SCHGR^CUD4_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261728	LOC118261728^US74C_DROME^TPT^sigP^Tm8
LOC118261729	LOC118261729^SYN_DROME^Synapsin^Tm1
LOC118261730	LOC118261730^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261732	LOC118261732^CU19_LOCMI^Chitin_bind_4^Tm2
LOC118261733	LOC118261733^CU07_LOCMI^CU18B_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261734	LOC118261734^CU07_LOCMI^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261735	LOC118261735^LUCI_PHOPE^AMP-binding^Tm1
LOC118261737	LOC118261737^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118261738	LOC118261738^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118261739	LOC118261739^DOS_DROME^PH^sigP^Tm4
LOC118261740	LOC118261740^CU18A_LOCMI^Chitin_bind_4^Tm3
LOC118261741	LOC118261741^TIL^sigP
LOC118261742	LOC118261742^CU19_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261743	LOC118261743^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261744	LOC118261744^CU18A_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261745	LOC118261745^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261746	LOC118261746^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261747	LOC118261747^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261748	LOC118261748^CU18A_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261749	LOC118261749^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261750	LOC118261750^OR2_ANOGA^7tm_6^Tm6
LOC118261751	LOC118261751^CU19_LOCMI^sigP^Tm2
LOC118261752	LOC118261752^CU19_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261753	LOC118261753^CU18A_LOCMI^Chitin_bind_4^Tm1
LOC118261754	LOC118261754^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261755	LOC118261755^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261756	LOC118261756^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261757	LOC118261757^CU18A_LOCMI^Chitin_bind_4^sigP
LOC118261758	LOC118261758^CU18A_LOCMI^Chitin_bind_4^Tm1
LOC118261759	LOC118261759^CU18B_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261760	LOC118261760^CU18B_LOCMI^Chitin_bind_4^sigP
LOC118261762	LOC118261762^CU18B_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261763	LOC118261763^CU18A_LOCMI^Chitin_bind_4^sigP^Tm4
LOC118261764	LOC118261764^CU18A_LOCMI^Chitin_bind_4^Tm5
LOC118261765	LOC118261765^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261766	LOC118261766^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261767	LOC118261767^CU19_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261768	LOC118261768^DUF4729
LOC118261769	LOC118261769^CUD6_SCHGR^CU12_HYACE^Chitin_bind_4^sigP^Tm1
LOC118261771	LOC118261771^sigP^Tm1
LOC118261772	LOC118261772^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261773	LOC118261773^CU08_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261774	LOC118261774^CU07_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261775	LOC118261775^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261776	LOC118261776^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261777	LOC118261777^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118261778	LOC118261778^VG_DROME^Vg_Tdu
LOC118261779	LOC118261779^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118261780	LOC118261780^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm2
LOC118261781	LOC118261781^sigP^Tm2
LOC118261782	LOC118261782^CCAPR_DROME^7TM_GPCR_Srsx^Tm7
LOC118261783	LOC118261783^CNKR3_HUMAN^SAM_1^sigP
LOC118261785	LOC118261785^CU18A_LOCMI^Chitin_bind_4^Tm2
LOC118261786	LOC118261786^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261787	LOC118261787^CU18A_LOCMI^Chitin_bind_4^Tm1
LOC118261788	LOC118261788^CU18A_LOCMI^Chitin_bind_4^Tm3
LOC118261789	LOC118261789^CU19_LOCMI^Chitin_bind_4^Tm1
LOC118261790	LOC118261790^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261791	LOC118261791^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261793	LOC118261793^CU18A_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261794	LOC118261794^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261795	LOC118261795^CU18A_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261796	LOC118261796^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261797	LOC118261797^sigP^Tm1
LOC118261798	LOC118261798^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261799	LOC118261799^CU18A_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261800	LOC118261800^CU18B_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261801	LOC118261801^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261802	LOC118261802^CU18A_LOCMI^Chitin_bind_4^Tm1
LOC118261803	LOC118261803^CU19_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118261804	LOC118261804^CU19_LOCMI^Chitin_bind_4^sigP^Tm6
LOC118261805	LOC118261805^TRET1_DROYA^TRET1_BOMMO^TRET1_ANOGA^MFS_1^Sugar_tr^sigP^Tm1
LOC118261806	LOC118261806^TRET1_BOMMO^TRET1_POLVA^TRE12_DROME^MFS_1^Sugar_tr^sigP^Tm12
LOC118261807	LOC118261807^CSDE1_RAT^CSD^sigP^Tm1
LOC118261808	LOC118261808^ACY1_MOUSE^Peptidase_M28^Tm1
LOC118261809	LOC118261809^CU19_LOCMI^Chitin_bind_4^sigP
LOC118261810	LOC118261810^DUF4729
LOC118261811	LOC118261811^Tm1
LOC118261812	LOC118261812^Tm1
LOC118261813	LOC118261813^sigP^Tm1
LOC118261814	LOC118261814^LPSBP_PERAM^Lectin_C^sigP^Tm1
LOC118261816	LOC118261816^LACH_SCHAM^I-set^sigP^Tm1
LOC118261817	LOC118261817^PGRP1_HOLDI^PGSC2_DROSI^Amidase_2^Tm1
LOC118261818	LOC118261818^NDST_DROME^HSNSD^sigP^Tm1
LOC118261819	LOC118261819^YI31B_YEAST^RVT_1^Tm2
LOC118261820	LOC118261820^CUO6_BLACR^Chitin_bind_4^Tm1
LOC118261821	LOC118261821^GATAC_DROME^GATA^Tm1
LOC118261822	LOC118261822^SIF1_DROME^SIF2_DROME^PH_9^sigP^Tm1
LOC118261823	LOC118261823^BRC4_DROME^BTB
LOC118261824	LOC118261824^Tm1
LOC118261825	LOC118261825^RDH13_HUMAN^adh_short^sigP^Tm1
LOC118261826	LOC118261826^Tm3
